timestamp,packet_id,prediction,prediction_label,true_label,true_label_name,correct,alert,attack_type,true_attack_type
2025-12-21T16:39:47.425254,0,1,Attack,1,Attack,True,True,DDOS_attack-HOIC,DDOS_attack-HOIC
2025-12-21T16:39:47.457876,1,1,Attack,1,Attack,True,True,DDOS_attack-HOIC,DDOS_attack-HOIC
2025-12-21T16:39:47.489290,2,1,Attack,1,Attack,True,True,DDOS_attack-HOIC,DDOS_attack-HOIC
2025-12-21T16:39:47.494581,3,0,Benign,1,Attack,False,False,,DDoS_attacks-LOIC-HTTP
2025-12-21T16:39:47.527368,4,1,Attack,1,Attack,True,True,DDOS_attack-HOIC,DDOS_attack-HOIC
2025-12-21T16:39:47.532718,5,0,Benign,0,Benign,True,False,,
2025-12-21T16:39:47.537872,6,0,Benign,0,Benign,True,False,,
2025-12-21T16:39:47.542804,7,0,Benign,1,Attack,False,False,,SSH-Bruteforce
2025-12-21T16:39:47.574791,8,1,Attack,0,Benign,False,True,SSH-Bruteforce,
2025-12-21T16:39:47.579924,9,0,Benign,0,Benign,True,False,,
2025-12-21T16:39:47.584472,10,0,Benign,0,Benign,True,False,,
2025-12-21T16:39:47.617924,11,1,Attack,1,Attack,True,True,DDOS_attack-HOIC,DDOS_attack-HOIC
2025-12-21T16:39:47.649832,12,1,Attack,1,Attack,True,True,FTP-BruteForce,FTP-BruteForce
2025-12-21T16:39:47.655261,13,0,Benign,0,Benign,True,False,,
2025-12-21T16:39:47.687931,14,1,Attack,1,Attack,True,True,DDOS_attack-HOIC,DDOS_attack-HOIC
2025-12-21T16:39:47.692560,15,0,Benign,0,Benign,True,False,,
2025-12-21T16:39:47.697819,16,0,Benign,0,Benign,True,False,,
2025-12-21T16:39:47.702897,17,0,Benign,1,Attack,False,False,,SSH-Bruteforce
2025-12-21T16:39:47.708135,18,0,Benign,0,Benign,True,False,,
2025-12-21T16:39:47.713304,19,0,Benign,0,Benign,True,False,,
2025-12-21T16:39:47.746487,20,1,Attack,1,Attack,True,True,DoS_attacks-SlowHTTPTest,DoS_attacks-SlowHTTPTest
2025-12-21T16:39:47.752258,21,0,Benign,0,Benign,True,False,,
2025-12-21T16:39:47.785956,22,1,Attack,1,Attack,True,True,DDOS_attack-HOIC,DDOS_attack-HOIC
2025-12-21T16:39:47.819063,23,1,Attack,1,Attack,True,True,DDOS_attack-HOIC,DDOS_attack-HOIC
2025-12-21T16:39:47.824277,24,0,Benign,0,Benign,True,False,,
2025-12-21T16:39:47.829284,25,0,Benign,1,Attack,False,False,,Bot
2025-12-21T16:39:47.833560,26,0,Benign,0,Benign,True,False,,
2025-12-21T16:39:47.838394,27,0,Benign,0,Benign,True,False,,
2025-12-21T16:39:47.869626,28,1,Attack,1,Attack,True,True,DDOS_attack-HOIC,DDOS_attack-HOIC
2025-12-21T16:39:47.874810,29,0,Benign,1,Attack,False,False,,SSH-Bruteforce
2025-12-21T16:39:47.879783,30,0,Benign,0,Benign,True,False,,
2025-12-21T16:39:47.884785,31,0,Benign,0,Benign,True,False,,
2025-12-21T16:39:47.889873,32,0,Benign,0,Benign,True,False,,
2025-12-21T16:39:47.895002,33,0,Benign,0,Benign,True,False,,
2025-12-21T16:39:47.899482,34,0,Benign,0,Benign,True,False,,
2025-12-21T16:39:47.904536,35,0,Benign,0,Benign,True,False,,
2025-12-21T16:39:47.937408,36,1,Attack,1,Attack,True,True,FTP-BruteForce,FTP-BruteForce
2025-12-21T16:39:47.942504,37,0,Benign,1,Attack,False,False,,SSH-Bruteforce
2025-12-21T16:39:47.947380,38,0,Benign,0,Benign,True,False,,
2025-12-21T16:39:47.978449,39,1,Attack,1,Attack,True,True,FTP-BruteForce,FTP-BruteForce
2025-12-21T16:39:47.983643,40,0,Benign,0,Benign,True,False,,
2025-12-21T16:39:47.988571,41,0,Benign,0,Benign,True,False,,
2025-12-21T16:39:47.993486,42,0,Benign,1,Attack,False,False,,SSH-Bruteforce
2025-12-21T16:39:47.998358,43,0,Benign,0,Benign,True,False,,
2025-12-21T16:39:48.028707,44,1,Attack,1,Attack,True,True,DDOS_attack-HOIC,DDOS_attack-HOIC
2025-12-21T16:39:48.033980,45,0,Benign,0,Benign,True,False,,
