timestamp,packet_id,prediction_label,alert_type,attack_type
2025-12-21T16:39:47.425390,0,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:47.457970,1,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:47.489375,2,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:47.527463,4,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:47.574879,8,Attack,attack_detected,SSH-Bruteforce
2025-12-21T16:39:47.618058,11,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:47.649933,12,Attack,attack_detected,FTP-BruteForce
2025-12-21T16:39:47.688056,14,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:47.746597,20,Attack,attack_detected,DoS_attacks-SlowHTTPTest
2025-12-21T16:39:47.786050,22,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:47.819138,23,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:47.869687,28,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:47.937514,36,Attack,attack_detected,FTP-BruteForce
2025-12-21T16:39:47.978544,39,Attack,attack_detected,FTP-BruteForce
2025-12-21T16:39:48.028831,44,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:48.066656,46,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:48.098175,47,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:48.135460,49,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:48.173212,50,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:48.232249,53,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:48.297404,61,Attack,attack_detected,SSH-Bruteforce
2025-12-21T16:39:48.329052,62,Attack,attack_detected,FTP-BruteForce
2025-12-21T16:39:48.370620,65,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:48.414245,68,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:48.480384,76,Attack,attack_detected,Infilteration
2025-12-21T16:39:48.512805,77,Attack,attack_detected,Infilteration
2025-12-21T16:39:48.546474,79,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:48.593326,83,Attack,attack_detected,Infilteration
2025-12-21T16:39:48.641724,87,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:48.734969,91,Attack,attack_detected,SSH-Bruteforce
2025-12-21T16:39:48.791123,92,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:48.857339,99,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:48.934252,107,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:48.977336,110,Attack,attack_detected,FTP-BruteForce
2025-12-21T16:39:49.022933,114,Attack,attack_detected,FTP-BruteForce
2025-12-21T16:39:49.074438,119,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:49.104876,120,Attack,attack_detected,DoS_attacks-SlowHTTPTest
2025-12-21T16:39:49.151959,124,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:49.203727,129,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:49.245484,132,Attack,attack_detected,DoS_attacks-SlowHTTPTest
2025-12-21T16:39:49.308108,136,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:49.354023,140,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:49.390354,142,Attack,attack_detected,SSH-Bruteforce
2025-12-21T16:39:49.437427,146,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:49.470360,147,Attack,attack_detected,FTP-BruteForce
2025-12-21T16:39:49.535662,155,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:49.575962,158,Attack,attack_detected,FTP-BruteForce
2025-12-21T16:39:49.619846,162,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:49.656254,164,Attack,attack_detected,SSH-Bruteforce
2025-12-21T16:39:49.729165,174,Attack,attack_detected,DoS_attacks-SlowHTTPTest
2025-12-21T16:39:49.761857,175,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:49.794418,176,Attack,attack_detected,SSH-Bruteforce
2025-12-21T16:39:49.844427,180,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:49.942583,193,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:49.996191,194,Attack,attack_detected,FTP-BruteForce
2025-12-21T16:39:50.055291,200,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:50.092358,201,Attack,attack_detected,DoS_attacks-SlowHTTPTest
2025-12-21T16:39:50.124901,202,Attack,attack_detected,FTP-BruteForce
2025-12-21T16:39:50.168040,205,Attack,attack_detected,FTP-BruteForce
2025-12-21T16:39:50.235933,213,Attack,attack_detected,FTP-BruteForce
2025-12-21T16:39:50.267407,214,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:50.298525,215,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:50.363097,223,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:50.401414,225,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:50.440932,228,Attack,attack_detected,DoS_attacks-SlowHTTPTest
2025-12-21T16:39:50.472843,229,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:50.505777,230,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:50.538646,231,Attack,attack_detected,FTP-BruteForce
2025-12-21T16:39:50.571776,232,Attack,attack_detected,FTP-BruteForce
2025-12-21T16:39:50.607853,234,Attack,attack_detected,FTP-BruteForce
2025-12-21T16:39:50.648306,237,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:50.686499,239,Attack,attack_detected,FTP-BruteForce
2025-12-21T16:39:50.738681,244,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:50.776463,246,Attack,attack_detected,FTP-BruteForce
2025-12-21T16:39:50.808212,247,Attack,attack_detected,FTP-BruteForce
2025-12-21T16:39:50.846119,249,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:50.878740,250,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:50.917485,252,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:50.976074,258,Attack,attack_detected,DDOS_attack-HOIC
2025-12-21T16:39:51.007586,259,Attack,attack_detected,FTP-BruteForce
2025-12-21T16:39:51.040266,260,Attack,attack_detected,DDOS_attack-HOIC
